event1_rms	event2_rms	event3_rms	event4_rms	event5_rms
1.33419930934906	1.360389232635498	1.4000627994537354	1.3733501434326172	1.3202998638153076
1.459757924079895	1.334638237953186	1.3676881790161133	1.3998535871505737	1.3628623485565186
1.4558409452438354	1.3687583208084106	1.5382864475250244	1.413074254989624	1.3803684711456299
1.3113983869552612	1.335405945777893	1.298946499824524	1.4375226497650146	1.3496922254562378
1.2913724184036255	1.3796257972717285	1.2823842763900757	1.336282730102539	1.35066819190979
1.368009328842163	1.3532673120498657	1.3406583070755005	1.2851215600967407	1.3060283660888672
1.5400937795639038	1.4823510646820068	1.4675604104995728	1.560868501663208	1.4934704303741455
1.3859786987304688	1.363077163696289	1.4801764488220215	1.3461077213287354	1.5745970010757446
1.332222580909729	1.309722661972046	1.3284807205200195	1.3102813959121704	1.301873803138733
1.392828345298767	1.3824882507324219	1.3406583070755005	1.3938790559768677	1.3538081645965576
1.3758000135421753	1.435892105102539	1.349800705909729	1.32472825050354	1.475520133972168
1.4307847023010254	1.3934588432312012	1.3509933948516846	1.4963107109069824	1.4402700662612915
1.413902997970581	1.3716434240341187	1.3802624940872192	1.4194837808609009	1.343167781829834
1.4187614917755127	1.6243029832839966	1.426069736480713	1.453324556350708	1.6575838327407837
1.4182454347610474	1.4205148220062256	1.4905264377593994	1.364365577697754	1.4149380922317505
1.3489326238632202	1.364150881767273	1.372283697128296	1.4017349481582642	1.4378281831741333
1.419071078300476	1.4402700662612915	1.513047218322754	1.4648642539978027	1.4320122003555298
1.393143653869629	1.4129706621170044	1.4336471557617188	1.4925878047943115	1.3885117769241333
1.3732435703277588	1.3607120513916016	1.3032227754592896	1.3745224475860596	1.3109517097473145
1.3744158744812012	1.4415909051895142	1.3730303049087524	1.3716434240341187	1.4408798217773438
1.3393471240997314	1.3914611339569092	1.3668315410614014	1.46536386013031	1.4127633571624756
1.4201024770736694	1.437217116355896	1.4437222480773926	1.489838719367981	1.4731366634368896
1.4471662044525146	1.4385408163070679	1.4582526683807373	1.3587738275527954	1.403822422027588
1.4531230926513672	1.570500373840332	1.4276089668273926	1.4281216859817505	1.3961880207061768
1.462363362312317	1.3714299201965332	1.505674958229065	1.4066356420516968	1.4575496912002563
1.3848161697387695	1.3768638372421265	1.381746768951416	1.3819586038589478	1.403509497642517
1.2615498304367065	1.2961255311965942	1.3765448331832886	1.299059271812439	1.2079530954360962
1.2037034034729004	1.2524646520614624	1.2358717918395996	1.2350423336029053	1.2271931171417236
1.2477798461914062	1.2718371152877808	1.250124454498291	1.2543336153030396	1.260504961013794
1.29702889919281	1.3263850212097168	1.2977060079574585	1.2747118473052979	1.3738831281661987
1.2790690660476685	1.3226265907287598	1.2856910228729248	1.3355154991149902	1.3116216659545898
1.422986388206482	1.3001857995986938	1.3665101528167725	1.3790950775146484	1.2786110639572144
1.354456901550293	1.3573724031448364	1.3348575830459595	1.3338700532913208	1.3671528100967407
1.3027732372283936	1.2900111675262451	1.2560832500457764	1.3201889991760254	1.2639846801757812
1.3502345085144043	1.366188645362854	1.3318928480148315	1.3374874591827393	1.3546730279922485
1.2733327150344849	1.2454309463500977	1.2441370487213135	1.2632895708084106	1.2533994913101196
1.3069249391555786	1.309722661972046	1.5541942119598389	1.289330005645752	1.3142980337142944
1.3615726232528687	1.3128490447998047	1.3348575830459595	1.2713764905929565	1.325722575187683
1.2608532905578613	1.4446346759796143	1.300973892211914	1.2852354049682617	1.2743672132492065
1.2315995693206787	1.2517629861831665	1.32472825050354	1.2388300895690918	1.2643321752548218
1.3896712064743042	1.3958734273910522	1.3781392574310303	1.3238437175750732	1.3682233095169067
1.261781930923462	1.2449605464935303	1.213274598121643	1.2307671308517456	1.266646146774292
1.353591799736023	1.3955587148666382	1.395978331565857	1.4241176843643188	1.3545650243759155
1.428839087486267	1.3467601537704468	1.4340555667877197	1.4972889423370361	1.449693202972412
1.351643443107605	1.3084924221038818	1.3518600463867188	1.3789889812469482	1.3647947311401367
1.423809289932251	1.3953489065170288	1.410481572151184	1.5103353261947632	1.3476295471191406
1.4430121183395386	1.4068437814712524	1.4624634981155396	1.4984618425369263	1.4511065483093262
1.6046236753463745	1.5241347551345825	1.434974193572998	1.3739897012710571	1.715146541595459
1.423809289932251	1.3689721822738647	1.4257616996765137	1.4857054948806763	1.4235007762908936
1.4370133876800537	1.536858081817627	1.3883007764816284	1.478295922279358	1.4242205619812012
1.4235007762908936	1.3951389789581299	1.3645801544189453	1.4171093702316284	1.434974193572998
1.4881670475006104	1.4559415578842163	1.4949402809143066	1.545597791671753	1.4300682544708252
1.335953950881958	1.366188645362854	1.422574758529663	1.456946849822998	1.3615726232528687
1.3851333856582642	1.364365577697754	1.3443663120269775	1.359204888343811	1.3392378091812134
1.5603055953979492	1.5890363454818726	1.5275890827178955	1.5511767864227295	1.6237620115280151
1.4013171195983887	1.417729139328003	1.456444263458252	1.4741302728652954	1.5316094160079956
1.501000165939331	1.4412862062454224	1.4431135654449463	1.4720430374145508	1.3575880527496338
